,곡명,아티스트,앨범,좋아요수
46,꿈 (2024 Remastered Ver.),조용필,웰컴투 삼달리 X 조용필 (2024 Remastering),"1,088"
47,사랑은 아직도 끝나지 않았네,조용필,조용필 1집 (Remastered),751
48,못찾겠다 꾀꼬리,조용필,조용필 4집,"2,172"
49,잊혀진 사랑,조용필,조용필 1집 (Remastered),684
50,HOT 걷고 싶다,조용필,45TH ANNIVERSARY CONCERT HELLO,"1,540"
51,바람의 노래,조용필,조용필 16집,"26,576"
52,꿈,조용필,The Dreams,"16,275"
53,Bounce,조용필,Hello,"40,021"
54,HOT 잊혀진 사랑,조용필,30주년 기념 음반 Part 1,"2,414"
55,HOT 단발머리,조용필,조용필 1집 (Remastered),"11,088"
56,그 겨울의 찻집,조용필,조용필 40주년 기념 콘서트 - The History 킬리만자로의 표범,"6,180"
57,HOT 이젠 그랬으면 좋겠네,조용필,90-Vol.1 Sailng Sound,"20,837"
58,모나리자,조용필,'88 조용필 10집,"6,894"
59,기다리는 아픔,조용필,Ambition,"4,837"
60,HOT 창밖의 여자,조용필,조용필 1집 (Remastered),"3,579"
61,HOT 고추잠자리,조용필,30주년 기념음반 Part 2,"4,069"
62,그대 발길 머무는 곳에,조용필,사랑과 인생과 나,"3,408"
63,HOT 킬리만자로의 표범,조용필,조용필 8집 (Remastered),"7,841"
64,HOT 상처,조용필,30주년 기념 음반 Part 1,"1,730"
65,돌아와요 부산항에,조용필,조용필 1집 (Remastered),"2,656"
66,여행을 떠나요,조용필,조용필 7집,"10,336"
67,친구여,조용필,조용필 5집,"2,063"
68,이젠 그랬으면 좋겠네 (원곡가수 조용필),박정현,나는 가수다 명곡 Best 10,"14,022"
69,허공,조용필,조용필 8집 (Remastered),"3,550"
70,HOT 여행을 떠나요,조용필,30주년 기념음반 Part 3,327
